Date,Predicted_Sales,Lower_Bound,Upper_Bound,Actual_Sales
2014-01-03,1517.9562801617517,-1220.7452847096602,4175.235325062699,16.448
2014-01-04,1017.6887417107571,-1857.7608629456154,3798.0191597599537,288.06
2014-01-05,1104.9164452112307,-1748.8000292420768,3728.2677916262705,19.536
2014-01-06,1254.365262458811,-1500.1658483564113,4095.806116491999,4407.1
2014-01-07,596.5585437201884,-2084.4421250277865,3471.460059071494,87.15799999999999
2014-01-09,785.6510244244564,-2034.615748207548,3620.7339563009928,40.544
2014-01-10,1029.3632350282173,-1572.788824052241,3783.846922148025,54.83
2014-01-11,597.1312689901748,-2311.7875491352843,3403.6429555239347,9.94
2014-01-13,980.9043485706136,-1809.7682236006788,3904.5175237148987,3553.795
2014-01-14,399.14193618411423,-2129.803309871448,3216.489060917479,61.96
2014-01-15,-496.0957072216629,-2926.4943778309444,2350.2632046046915,149.95
2014-01-16,737.4361213451542,-2009.1027798526131,3470.7779581062277,299.964
2014-01-18,683.9174377356778,-2076.5324754610806,3244.332618345332,64.864
2014-01-19,901.9083491064649,-1658.063457062868,3632.0401714587097,378.594
2014-01-20,1177.168617417928,-1615.597932424699,4019.4188157408485,2673.87
2014-01-21,637.6171101372441,-2032.4093458730488,3426.7945122846545,25.248
2014-01-23,1030.9852732881234,-1895.428100978078,3623.558581375344,46.019999999999996
2014-01-26,1198.639366544295,-1549.3073866432992,3877.437854208787,1097.25
2014-01-27,1453.8965455941595,-1245.606492722113,4017.5809620189925,426.67
2014-01-28,884.5893091506556,-1904.27405813125,3637.773951242987,3.928
2014-01-30,1192.708227332093,-1614.9083085491488,3947.161151832886,240.5
2014-01-31,1465.0398181574553,-1288.4488149038243,4243.358572581323,290.666
2014-02-01,1040.3543617299224,-1584.4139459363096,3867.988720947772,468.9
2014-02-02,1186.5145284640544,-1544.5550147912872,3952.3329957617443,211.64600000000002
2014-02-03,1377.5236558869915,-1297.9902407810132,4111.212992459324,97.11200000000001
2014-02-04,743.5869672484204,-2099.5334797738997,3576.5682370084505,134.38400000000001
2014-02-06,928.1481192139681,-1947.7425866135331,3567.8318294743935,330.512
2014-02-07,1144.8864962694588,-1581.330158100559,3905.9635821404595,180.32
2014-02-08,670.8179005295835,-2174.892511773777,3317.025094203883,14.56
2014-02-11,276.35085607603264,-2482.2970575934537,2904.922784987892,2043.4
2014-02-12,-700.5289571023463,-3501.9414839548995,2102.165889617254,129.568
2014-02-14,674.900877823619,-2229.076753641218,3496.2050563407374,576.726
2014-02-15,223.0668889018234,-2902.8842368711184,2913.882839126192,21.36
2014-02-16,361.1321822644861,-2335.8358662190844,3030.6065677779216,9.04
2014-02-17,563.8579878352722,-2180.9511954315826,3476.758565940132,54.208
2014-02-18,-38.24362609270406,-2613.355860206431,2584.7285614372145,37.784
2014-02-20,269.2719974068109,-2438.987738597469,3112.0959609443553,95.59
2014-02-21,575.4611410412789,-2183.153250023803,3387.199301920217,8.85
2014-02-22,207.65966221947133,-2542.821814381924,2902.089032564632,19.44
2014-02-23,433.26545223274456,-2109.482544001013,3299.7501889030636,11.364
2014-02-24,725.3003415082709,-1969.0274656296856,3478.611266733515,55.672
2014-02-27,691.4150318233407,-2056.495133808798,3303.8622775624294,19.456
2014-03-01,780.3450677649956,-1699.4861296845036,3449.9022330381595,2203.151
2014-03-02,1069.5764836958247,-1681.9748236602125,3726.745620956651,202.384
2014-03-03,1415.7515962902453,-1482.7419237948316,4178.798634593459,1345.8919999999998
2014-03-04,946.5539222093172,-1837.2722098541708,3751.602615813007,370.452
2014-03-05,153.53218626289618,-2568.4471224091594,3091.637954188872,705.562
2014-03-07,1871.0438122268663,-678.7351678141939,4541.4293102396605,1561.062
2014-03-10,2161.8993799800974,-757.7427394421522,4946.330805873352,741.956
2014-03-11,1653.6397659039117,-1049.262222165215,4277.207269335087,918.314
2014-03-14,2404.6445664086696,-361.76833036864315,5159.714474011112,2108.55
2014-03-15,2032.0222705795672,-385.64816913999624,4772.704680077416,370.78200000000004
2014-03-16,2227.5126123877285,-502.642369083745,4913.542904906008,471.92
2014-03-17,2464.8817903093936,-188.612635772333,5221.247491600832,3960.358
2014-03-18,1874.0714258439202,-941.181893879446,4644.04628568101,28106.716
2014-03-19,949.1006366792524,-1739.4228663925624,3738.051375595614,590.762
2014-03-21,2382.2951322301014,-200.28239079673622,5109.243780690994,4109.816
2014-03-22,1935.2328229826248,-787.9864990539512,4651.280494772696,464.09299999999996
2014-03-23,2061.682995465571,-622.2850439963224,4862.847671962988,945.064
2014-03-24,2236.484207539361,-568.6155213103548,5053.082326870605,65.38
2014-03-25,1590.472789374641,-978.7847428077107,4347.148403776525,459.146
2014-03-26,618.3696126375964,-2005.2637049775144,3389.913347298976,145.13
2014-03-28,1983.2909703027935,-731.5392527688058,4701.695218825716,1823.8039999999999
2014-03-29,1515.4598262047803,-1180.1322218701414,4259.1135580458595,890.841
