ds,yhat,yhat_lower,yhat_upper
2014-01-03,1424.6242019214872,-1220.5069846515357,4076.405893520169
2014-01-04,995.9818329222198,-1474.8400379528143,3560.8128026753393
2014-01-05,1048.8932524341296,-1434.292048974376,3283.2827129758407
2014-01-06,1174.5481372567594,-1408.2364273608293,3655.9426637312827
2014-01-07,416.84737831747157,-2132.4011492212385,2965.8708073641114
2014-01-08,-608.5327527446168,-3150.9153723103423,1998.6978842549065
2014-01-09,457.03390249765516,-2091.2797247585663,3103.0053023995933
2014-01-10,909.087347359857,-1806.483803772487,3411.411626483454
2014-01-11,536.8032185118722,-1952.8967983746354,2940.616515911602
2014-01-12,650.8536752123772,-1777.1197619672103,3348.9898792848653
2014-01-13,841.2262348987332,-1746.0527977967156,3482.408093187319
2014-01-14,150.52877504016078,-2644.009015452368,2835.385658038581
2014-01-15,-806.9169630701872,-3316.023395151663,1772.0257633237177
2014-01-16,326.13031085083855,-2118.674369060752,3058.499128694731
2014-01-17,843.8276722576632,-1780.312730876571,3420.597667102881
2014-01-18,534.0023686978882,-2133.1908474687953,3247.1467777360917
2014-01-19,706.0448328492046,-1841.749786541009,3325.6177082331974
2014-01-20,948.7583756400222,-1537.4351838005216,3719.3498222720887
2014-01-21,303.6930111866192,-2223.9422061795517,2881.4584355526954
2014-01-22,-615.7349760448101,-3374.4464248524087,2159.1844328076804
2014-01-23,546.9852940223006,-1926.1614798602468,3020.0485263724872
2014-01-24,1085.47416529321,-1412.5405039599632,3678.4486177860194
2014-01-25,787.2299660076785,-1916.7085260328524,3327.1708310010345
2014-01-26,961.5312737215481,-1386.392986439161,3789.1378721106653
2014-01-27,1197.2907135498558,-1432.8921283371103,3681.5279038843178
2014-01-28,536.3876014333441,-1917.1084327949666,3132.7149841879573
2014-01-29,-407.2189671881704,-2988.5005831872427,2290.0951377282017
2014-01-30,723.7265534114014,-2126.076356896905,3167.3312651939227
2014-01-31,1223.7744465105382,-1279.9512109615414,3930.427653532756
2014-02-01,881.5171189243217,-1809.4439917106806,3504.4947510717343
2014-02-02,1007.4661652538341,-1368.2041681822418,3517.5964152096253
2014-02-03,1191.8774896589994,-1136.2253986614087,3690.0591909630252
2014-02-04,478.0524760312579,-2341.600047906608,3077.574766612881
2014-02-05,-518.5824417835415,-3203.9741962476496,1853.8872563916525
2014-02-06,560.7061318126968,-1940.5955288417442,2925.344165120281
2014-02-07,1011.921680456602,-1684.3831545026078,3460.6917246214375
2014-02-08,625.0504500707677,-1964.0940822006744,3080.347670846039
2014-02-09,711.9050935144694,-1754.991109706536,3401.3040453946796
2014-02-10,863.9184780448389,-1684.7850753808295,3519.9344027620014
2014-02-11,125.41640983547882,-2388.9696106390297,2702.155007523356
2014-02-12,-887.3276788113149,-3564.423824270575,1674.3993858989782
2014-02-13,185.06846956093227,-2333.2454145769157,2639.8301145335504
2014-02-14,639.0430267880598,-1963.8606238505513,3253.8485840515045
2014-02-15,264.79178304358936,-2370.287181332517,2883.855650706294
2014-02-16,374.1061544294149,-2171.7345229529474,2953.9924972332424
2014-02-17,558.1668221358444,-1903.7904236203344,3253.847789354386
2014-02-18,-139.17824159195743,-2829.5439486279047,2381.1744364107744
2014-02-19,-1102.3484482441895,-3486.990183513982,1526.6018432528397
2014-02-20,27.146314726865512,-2261.4305371621995,2702.857298127281
